Counter,First Element,Last Element,Time Elapsed,Queue Size
100,0,99,1.00E-05,0
200,0,99,0.0053545,0
300,0,99,0.0065919,0
400,0,99,0.0073683,0
500,0,99,0.0064528,0
600,0,99,0.0061279,0
700,0,99,0.0064588,0
800,0,99,0.0066813,0
900,0,99,0.0066123,0
1000,0,99,0.006365,0
1100,0,99,0.0069178,0
1200,0,99,0.0063457,0
1300,0,99,0.0066575,0
1400,0,99,0.00639,0
1500,0,99,0.006756,0
1600,0,99,0.0065822,0
1700,0,99,0.0068598,0
1800,0,99,0.0068273,0
1900,0,99,0.0064802,0
2000,0,99,0.0071799,0
2100,0,99,0.0063442,0
2200,0,99,0.0066716,0
2300,0,99,0.006805,0
2400,0,99,0.0068519,0
2500,0,99,0.006391,0
2600,0,99,0.0073296,0
2700,0,99,0.0066364,0
2800,0,99,0.0066532,0
2900,0,99,0.0070054,0
3000,0,99,0.0061346,0
3100,0,99,0.0064475,0
3200,0,99,0.0065184,0
3300,0,99,0.0062367,0
3400,0,99,0.0060104,0
3500,0,99,0.006988,0
3600,0,99,0.0069176,0
3700,0,99,0.0066031,0
3800,0,99,0.0067964,0
3900,0,99,0.0071535,0
4000,0,99,0.0066125,0
4100,0,99,0.0063304,0
4200,0,99,0.006955,0
4300,0,99,0.0065636,0
4400,0,99,0.0071447,0
4500,0,99,0.0066153,0
4600,0,99,0.0065473,0
4700,0,99,0.0069504,0
4800,0,99,0.0067368,0
4900,0,99,0.0072531,0
5000,0,99,0.0065902,0
5100,0,99,0.0064646,0
5200,0,99,0.0067064,0
5300,0,99,0.0062638,0
5400,0,99,0.0065724,0
5500,0,99,0.0070718,0
5600,0,99,0.0066086,0
5700,0,99,0.0071776,0
5800,0,99,0.0064891,0
5900,0,99,0.0064277,0
6000,0,99,0.0069024,0
6100,0,99,0.006395,0
6200,0,99,0.0072363,0
6300,0,99,0.0071411,0
6400,0,99,0.0069036,0
6500,0,99,0.0068648,0
6600,0,99,0.0065023,0
6700,0,99,0.0067637,0
6800,0,99,0.0067325,0
6900,0,99,0.0068086,0
7000,0,99,0.0065384,0
7100,0,99,0.0066074,0
7200,0,99,0.0067083,0
7300,0,99,0.006957,0
7400,0,99,0.0070551,0
7500,0,99,0.0065745,0
7600,0,99,0.0062099,0
7700,0,99,0.0071854,0
7800,0,99,0.0066111,0
7900,0,99,0.0071674,0
8000,0,99,0.0065541,0
8100,0,99,0.0070466,0
8200,0,99,0.0067782,0
8300,0,99,0.0068385,0
8400,0,99,0.0067424,0
8500,0,99,0.0069927,0
8600,0,99,0.0063265,0
8700,0,99,0.006622,0
8800,0,99,0.006381,0
8900,0,99,0.0065832,0
9000,0,99,0.0065993,0
9100,0,99,0.006439,0
9200,0,99,0.0070394,0
9300,0,99,0.0072456,0
9400,0,99,0.0068461,0
9500,0,99,0.0063246,0
9600,0,99,0.0067413,0
9700,0,99,0.0062703,0
9800,0,99,0.0060198,0
9900,0,99,0.0071444,0
10000,0,99,0.0063377,0
10100,0,99,0.0065124,0
10200,0,99,0.0061993,0
10300,0,99,0.0065317,0
10400,0,99,0.0065389,0
10500,0,99,0.0064608,0
10600,0,99,0.0065192,0
10700,0,99,0.0064381,0
10800,0,99,0.0062118,0
10900,0,99,0.0070219,0
11000,0,99,0.0059976,0
11100,0,99,0.0068087,0
11200,0,99,0.0066776,0
11300,0,99,0.0068079,0
11400,0,99,0.0069243,0
11500,0,99,0.0062969,0
11600,0,99,0.0061174,0
11700,0,99,0.006187,0
11800,0,99,0.0067114,0
11900,0,99,0.0060584,0
12000,0,99,0.006672,0
12100,0,99,0.0065987,0
12200,0,99,0.0064475,0
12300,0,99,0.0072263,0
12400,0,99,0.0062738,0
12500,0,99,0.0063655,0
12600,0,99,0.0062459,0
12700,0,99,0.0066352,0
12800,0,99,0.0068717,0
12900,0,99,0.0062218,0
13000,0,99,0.0065216,0
13100,0,99,0.0061518,0
13200,0,99,0.0064243,0
13300,0,99,0.0063661,0
13400,0,99,0.0057645,0
13500,0,99,0.0065567,0
13600,0,99,0.0063204,0
13700,0,99,0.0070297,0
13800,0,99,0.0065918,0
13900,0,99,0.0060355,0
14000,0,99,0.0064661,0
14100,0,99,0.0065674,0
14200,0,99,0.0061614,0
14300,0,99,0.0061223,0
14400,0,99,0.0065675,0
14500,0,99,0.0064677,0
14600,0,99,0.0062285,0
14700,0,99,0.0062075,0
14800,0,99,0.006605,0
14900,0,99,0.006531,0
15000,0,99,0.0062011,0
15100,0,99,0.0066596,0
15200,0,99,0.0060276,0
15300,0,99,0.0067521,0
15400,0,99,0.0067858,0
15500,0,99,0.0065947,0
15600,0,99,0.0062605,0
15700,0,99,0.0064278,0
15800,0,99,0.0061608,0
15900,0,99,0.0064759,0
16000,0,99,0.006118,0
16100,0,99,0.0068732,0
16200,0,99,0.0064686,0
16300,0,99,0.0059888,0
16400,0,99,0.0066319,0
16500,0,99,0.0067434,0
16600,0,99,0.0066181,0
16700,0,99,0.0062471,0
16800,0,99,0.0066696,0
16900,0,99,0.0064419,0
17000,0,99,0.0068502,0
17100,0,99,0.0065425,0
17200,0,99,0.0060226,0
17300,0,99,0.0066082,0
17400,0,99,0.006521,0
17500,0,99,0.0068309,0
17600,0,99,0.0067662,0
17700,0,99,0.0060383,0
17800,0,99,0.0063942,0
17900,0,99,0.0063441,0
18000,0,99,0.0061661,0
18100,0,99,0.0066111,0
18200,0,99,0.0061794,0
18300,0,99,0.0068554,0
18400,0,99,0.0065518,0
18500,0,99,0.0066985,0
