Counter,First Element,Last Element,Time Elapsed,Queue Size
38200,9001,9200,0.0085167,0
38400,9201,9400,0.0082323,0
38600,9401,9600,0.0082695,0
38800,9601,9800,0.0084369,0
39000,9801,10000,0.0081947,0
39200,10001,10200,0.0084179,0
39400,10201,10400,0.0079656,0
39600,10401,10600,0.0085057,0
39800,10601,10800,0.008623,0
40000,10801,11000,0.0081452,0
40200,11001,11200,0.0123216,0
40400,11201,11400,0.0062638,0
40600,11401,11600,0.0081006,0
40800,11601,11800,0.006681,0
41000,11801,12000,0.0082185,0
41200,12001,12200,0.0094432,0
41400,12201,12400,0.0073605,0
41600,12401,12600,0.008183,0
41800,12601,12800,0.0082522,0
42000,12801,13000,0.0084468,0
42200,13001,13200,0.0081998,0
42400,13201,13400,0.0083051,0
42600,13401,13600,0.0085458,0
42800,13601,13800,0.0081064,0
43000,13801,14000,0.0084917,0
43200,14001,14200,0.008364,0
43400,14201,14400,0.0083065,0
43600,14401,14600,0.008227,0
43800,14601,14800,0.0084497,0
44000,14801,15000,0.0082876,0
44200,15001,15200,0.0084537,0
44400,15201,15400,0.0083787,0
44600,15401,15600,0.008216,0
44800,15601,15800,0.0084868,0
45000,15801,16000,0.0082639,0
45200,16001,16200,0.0083447,0
45400,16201,16400,0.0084827,0
45600,16401,16600,0.0081721,0
45800,16601,16800,0.0082857,0
46000,16801,17000,0.0083852,0
46200,17001,17200,0.0083871,0
46400,17201,17400,0.0082545,0
46600,17401,17600,0.0084187,0
46800,17601,17800,0.0082459,0
47000,17801,18000,0.0083951,0
47200,18001,18200,0.0083911,0
47400,18201,18400,0.008356,0
47600,18401,18600,0.0082986,0
47800,18601,18800,0.0083652,0
48000,18801,19000,0.008406,0
48200,19001,19200,0.0083764,0
48400,19201,19400,0.0082165,0
48600,19401,19600,0.0085204,0
48800,19601,19800,0.0083141,0
49000,19801,20000,0.008364,0
49200,20001,20200,0.0083488,0
49400,20201,20400,0.0085774,0
49600,20401,20600,0.0082795,0
49800,20601,20800,0.0085473,0
50000,20801,21000,0.0082283,0
50200,21001,21200,0.0084349,0
50400,21201,21400,0.0084198,0
50600,21401,21600,0.0083359,0
50800,21601,21800,0.0084638,0
51000,21801,22000,0.0083609,0
51200,22001,22200,0.0083853,0
51400,22201,22400,0.0083739,0
51600,22401,22600,0.0083427,0
51800,22601,22800,0.0083998,0
52000,22801,23000,0.0084418,0
52200,23001,23200,0.0084073,0
52400,23201,23400,0.0084759,0
52600,23401,23600,0.0085042,0
52800,23601,23800,0.0082865,0
53000,23801,24000,0.0084751,0
53200,24001,24200,0.0081349,0
53400,24201,24400,0.0086218,0
53600,24401,24600,0.0085162,0
53800,24601,24800,0.0084591,0
54000,24801,25000,0.0088545,0
54200,25001,25200,0.0081206,0
54400,25201,25400,0.0083788,0
54600,25401,25600,0.0084298,0
54800,25601,25800,0.0083184,0
55000,25801,26000,0.0085641,0
55200,26001,26200,0.0086122,0
55400,26201,26400,0.0082524,0
55600,26401,26600,0.0085087,0
55800,26601,26800,0.0084965,0
56000,26801,27000,0.0083749,0
56200,27001,27200,0.0084616,0
56400,27201,27400,0.0082438,0
56600,27401,27600,0.0085775,0
